Lat,Lon,Title,Coffee shops,... per 100k,Rank
36.7953025,-76.0509251,"Virginia Beach, USA",246,54.352,102
32.701939,-97.1057149,"Arlington, USA",213,54.23,103
43.0349931,-87.922497,"Milwaukee, USA",322,54.113,104
42.2376602,-8.7247205,"Vigo, Spain",158,53.139,105
41.3828939,2.1774322,"Barcelona, Spain",860,53.036,106
37.1830197,-3.602192,"Granada, Spain",124,52.918,107
41.8239891,-71.4128343,"Providence, USA",94,52.45,108
47.3723957,8.5423216,"Zurich, Switzerland",179,52.381,109
51.5073219,-0.1276474,"London, UK",4271,52.251,110
43.2629489,-2.9349459,"Bilbao, Spain",184,51.851,111
33.4144139,-111.9094474,"Tempe, USA",94,51.507,112
33.7853894,-118.1580493,"Long Beach, USA",242,51.475,113
30.2711286,-97.7436995,"Austin, USA",486,51.272,114
36.1622296,-86.7743531,"Nashville, USA",338,51.182,115
32.7174209,-117.1627714,"San Diego, USA",717,50.973,116
35.9603948,-83.9210261,"Knoxville, USA",94,50.473,117
52.0799838,4.3113461,"the Hague, The Netherlands",268,50.382,118
53.7974185,-1.5437941,"Leeds, UK",239,50.355,119
32.2218917,-110.9262353,"Tucson, USA",267,50.31,120
48.2083537,16.3725042,"Vienna, Austria",847,50.075,121
-35.2975906,149.1012676,"Canberra, Australia",202,50.066,122
60.4517531,22.2670522,"Turku, Finland",88,50.016,123
43.1538815,-8.5809418,"A Coruna, Spain",123,49.989,124
-41.2887639,174.7772239,"Wellington, New Zealand",205,49.697,125
55.6867243,12.5700724,"Copenhagen, Denmark",573,49.67,126
38.8949549,-77.0366456,"Washington, USA",338,49.621,127
-37.7876214,175.2813186,"Hamilton, New Zealand",117,49.597,128
36.8414197,-2.4628135,"Almeria, Spain",93,49.256,129
59.9132694,10.7391112,"Oslo, Norway",285,49.138,130
52.9212617,-1.4761491,"Derby, UK",125,48.944,131
61.4980214,23.7603118,"Tampere, Finland",99,48.844,132
49.262428,-123.11554,"Vancouver, Canada",1128,48.761,133
34.0919481,-117.559778,"Rancho Cucamonga, USA",86,48.716,134
35.2270869,-80.8431268,"Charlotte, USA",410,48.691,135
36.1662859,-115.149225,"Las Vegas, USA",308,48.664,136
-32.9272881,151.7812534,"Newcastle, Australia",156,48.405,137
53.4791301,-2.2441009,"Manchester, UK",247,48.361,138
51.1712468,7.0838996,"Solingen, Germany",76,47.881,139
38.2653181,-0.6988488,"Elche, Spain",110,47.803,140
41.6786754,-83.5127283,"Toledo, USA",133,47.754,141
54.9770924,-1.6142059,"Newcastle, UK",128,47.75,142
43.167376,-79.241638,"St. Catharines, Canada",186,47.427,143
57.7072326,11.9670171,"Goeteborg, Sweden",271,47.312,144
51.1981778,6.6916476,"Neuss, Germany",73,46.971,145
44.0505054,-123.0950506,"Eugene, USA",78,46.826,146
41.2587317,-95.9378732,"Omaha, USA",207,46.312,147
39.7989763,-89.6443688,"Springfield, USA",77,46.02,148
48.4283182,-123.3649533,"Victoria, Canada",158,45.848,149
37.6390972,-120.9968782,"Modesto, USA",97,45.717,150
35.996653,-78.9018053,"Durham, USA",119,45.244,151
40.3281942,-3.76527,"Leganes, Spain",84,45.145,152
32.2990384,-90.1847691,"Jackson, USA",76,44.931,153
49.487297,8.3900658,"Ludwigshafen am Rhein, Germany",74,44.925,154
59.3251172,18.0710935,"Stockholm, Sweden",677,44.686,155
43.157285,-77.615214,"Rochester, USA",92,44.044,156
42.8867166,-78.8783922,"Buffalo, USA",113,43.986,157
30.4459596,-91.18738,"Baton Rouge, USA",100,43.915,158
50.7446703,-1.8579809,"Bournemouth, UK",82,43.733,159
52.3745403,4.8979755,"Amsterdam, The Netherlands",374,43.697,160
48.3059078,14.286198,"Linz, Austria",79,43.607,161
53.3806626,-1.4702278,"Sheffield, UK",225,43.429,162
37.5482697,-121.9885719,"Fremont, USA",101,43.322,163
47.7981346,13.0464806,"Salzburg, Austria",65,43.256,164
47.5581077,7.5878261,"Basel, Switzerland",71,43.164,165
41.5697302,2.0132071,"Terrassa, Spain",90,42.666,166
39.7391536,-104.9847034,"Denver, USA",295,42.565,167
30.6943566,-88.0430541,"Mobile, USA",82,42.508,168
50.8036831,-1.075614,"Portsmouth, UK",101,42.413,169
44.841225,-0.5800364,"Bordeaux, France",103,42.278,170
39.7989763,-89.6443688,"Springfield, USA",65,42.188,171
33.3067132,-111.8408489,"Chandler, USA",104,42.024,172
29.7589382,-95.3676974,"Houston, USA",968,42.023,173
30.4380832,-84.2809332,"Tallahassee, USA",80,41.908,174
53.7435722,-0.3394758,"Hull, UK",118,41.502,175
28.4597823,-16.2536378,"Santa Cruz de Tenerife, Spain",92,41.364,176
35.0841034,-106.6509851,"Albuquerque, USA",231,41.303,177
26.0232203,-80.3412391,"Pembroke Pines, USA",69,40.928,178
39.5695818,2.6500745,"Palma, Spain",164,40.87,179
44.6486237,-63.5859487,"Halifax, Canada",159,40.735,180
56.1496278,10.2134046,"Arhus, Denmark",96,40.412,181
-19.2569391,146.8239537,"Townsville, Australia",72,40.254,182
51.456659,-0.9696512,"Reading, UK",88,40.237,183
38.8339578,-104.8253485,"Colorado Springs, USA",187,40.206,184
50.6305089,3.0706414,"Lille, France",93,40.174,185
54.9063791,-1.375053,"Sunderland, UK",70,40.164,186
39.7683331,-86.1583502,"Indianapolis, USA",343,40.109,187
35.4729886,-97.5170536,"Oklahoma City, USA",256,40.102,188
38.4404675,-122.7144314,"Santa Rosa, USA",70,39.965,189
37.5385087,-77.43428,"Richmond, USA",89,39.88,190
51.8979282,-8.4705806,"Cork, Republic of Ireland",83,39.776,191
35.7803977,-78.6390989,"Raleigh, USA",179,39.008,192
-27.4689682,153.0234991,"Brisbane, Australia",917,38.852,193
52.266837,8.049741,"Osnabrück, Germany",63,38.792,194
34.5793131,-118.1171108,"Palmdale, USA",61,38.766,195
39.0844687,-94.5630298,"Kansas City, USA",185,38.428,196
36.0726355,-79.7919754,"Greensboro, USA",110,38.324,197
39.6311085,-105.1100582,"Lakewood, USA",59,38.214,198
52.4081812,-1.510477,"Coventry, UK",124,38.043,199
49.4361022,11.0515719,"Nuremberg (Nürnberg), Germany",194,38.041,200
36.1556805,-95.9929113,"Tulsa, USA",153,37.957,201
52.9534161,-1.1492773,"Nottingham, UK",109,37.677,202
53.4054719,-2.9805392,"Liverpool, UK",207,37.482,203
40.03813,-76.3056686,"Lancaster, USA",60,37.475,204
52.25,5.75,"Apeldoom, The Netherlands",60,37.225,205
41.0799898,-85.1386015,"Fort Wayne, USA",98,37.053,206
34.142498,-118.248596,"Glendale, USA",73,36.349,207
-43.530955,172.6366455,"Christchurch, New Zealand",144,36.299,208
38.2542376,-85.759407,"Louisville, USA",223,36.186,209
51.0534234,-114.0625892,"Calgary, Canada",439,36.136,210
27.7703796,-82.6695085,"St. Petersburg, USA",94,36.015,211
37.3688301,-122.0363496,"Sunnyvale, USA",55,36.002,212
50.9025349,-1.404189,"Southampton, UK",90,35.482,213
36.7295295,-119.7088613,"Fresno, USA",185,35.437,214
39.1014537,-84.5124602,"Cincinnati, USA",104,34.806,215
48.8566101,2.3514992,"Paris, France",772,34.625,216
39.52927,-119.8136744,"Reno, USA",84,34.25,217
41.3640764,2.1004319,"L'Hospitalet de Llobregat, Spain",88,34.236,218
37.8790699,-4.7765998,"Cordoba, Spain",110,33.493,219
51.5737091,5.0439311,"Tilburg, The Netherlands",72,33.39,220
51.4825041,11.9705452,"Halle (Saale), Germany",79,33.335,221
39.9859953,-0.0374353,"Castello de la Plana, Spain",60,33.332,222
36.6744117,-121.6550372,"Salinas, USA",52,33.075,223
49.9011005,-119.4247724,"Kelowna, Canada",59,32.807,224
33.1506744,-96.8236116,"Frisco, USA",53,32.385,225
50.938361,6.959974,"Cologne (Köln), Germany",343,32.341,226
52.0429797,-0.7589607,"Milton Keynes, UK",55,32.023,227
50.1106444,8.6820917,"Frankfurt, Germany",233,31.801,228
49.0521162,-122.3294792,"Abbotsford, Canada",54,31.729,229
-31.9527121,115.8604796,"Perth, Australia",638,31.552,230
53.6466645,-1.7822482,"Huddersfield, UK",51,31.298,231
37.6922361,-97.3375448,"Wichita, USA",122,31.29,232
36.0625843,-94.1574328,"Fayetteville, USA",63,30.768,233
51.3582945,7.473296,"Hagen, Germany",58,30.681,234
34.729847,-86.5859011,"Huntsville, USA",59,30.557,235
36.0998131,-80.2440518,"Winston–Salem, USA",74,30.553,236
49.8741846,8.6649052,"Darmstadt, Germany",47,30.254,237
49.4093582,8.694724,"Heidelberg, Germany",47,30.077,238
33.4709714,-81.9748429,"Augusta, USA",59,29.937,239
53.535411,-113.507996,"Edmonton, Canada",346,29.831,240
52.6361398,-1.1330789,"Leicester, UK",132,29.746,241
34.1028268,-118.3299899,"Hollywood, USA",45,29.606,242
35.3738712,-119.0194639,"Bakersfield, USA",111,29.491,243
49.8196237,18.2511942,"Ostrava, Czech Republic",92,29.385,244
33.8752945,-117.5664449,"Corona, USA",49,29.379,245
32.5221828,-93.7651944,"Shreveport, USA",57,29.243,246
52.2716565,10.5203138,"Braunschweig, Germany",73,29.042,247
30.3321838,-81.655651,"Jacksonville, USA",255,28.957,248
38.8147596,-77.0902477,"Alexandria, USA",45,28.881,249
45.7578137,4.8320114,"Lyon, France",144,28.759,250
42.2625932,-71.8022934,"Worcester, USA",53,28.725,251
49.014068,8.404437,"Karlsruhe, Germany",88,28.594,252
40.8,-96.667821,"Lincoln, USA",80,28.534,253
52.5847651,-2.127567,"Wolverhampton, UK",75,28.283,254
34.1476452,-118.1444779,"Pasadena, USA",43,28.04,255
51.7099516,5.2919188,"s-Hertogenbosch, The Netherlands",43,28.026,256
39.9523993,-75.1635899,"Philadelphia, USA",438,27.936,257
51.2211097,4.3997081,"Antwerp, Belgium",145,27.858,258
33.1216751,-117.0814849,"Escondido, USA",42,27.702,259
38.4087993,-121.3716178,"Elk Grove, USA",47,27.689,260
36.9786449,-76.4321089,"Newport News, USA",50,27.499,261
40.4818396,-3.3644973,"Alcala de Henares, Spain",56,27.374,262
45.4667971,9.1904984,"Milan, Italy",338,27.328,263
35.1490215,-90.0516285,"Memphis, USA",178,27.271,264
52.2233632,6.8705957,"Enschede, The Netherlands",43,27.168,265
44.9504037,-93.1015026,"Saint Paul, USA",82,27.117,266
50.44876,-104.61731,"Regina, Canada",57,27.071,267
29.4246002,-98.4951405,"San Antonio, USA",396,26.532,268
50.3712659,-4.1425658,"Plymouth, UK",62,26.385,269
41.6521342,-0.8809428,"Zaragoza, Spain",175,25.952,270
50.4120332,4.4436244,"Charleroi, Belgium",52,25.838,271
38.0464066,-84.4970393,"Lexington, USA",82,25.75,272
42.8184538,-1.6442556,"Pamplona, Spain",51,25.694,273
49.7477415,13.3775249,"Pilsen, Czech Republic",42,25.582,274
52.5738875,-0.2416701,"Peterborough, UK",41,25.354,275
40.3081807,-3.7302679,"Getafe, Spain",42,25.125,276
51.6020246,-0.9153487,"Southend, UK",44,25.065,277
48.7784485,9.1800132,"Stuttgart, Germany",155,24.85,278
38.2967791,-85.7602087,"Clarksville, USA",37,24.62,279
40.4784376,-74.753773,"Montgomery, USA",49,24.497,280
48.1406229,11.5581366,"Munich (München), Germany",353,24.338,281
41.7571701,-88.3147539,"Aurora, USA",88,24.329,282
41.083064,-81.518485,"Akron, USA",48,24.287,283
43.7009358,7.2683912,"Nice, France",83,24.248,284
51.0538286,3.7250121,"Ghent, Belgium",62,23.931,285
45.421106,-75.690308,"Ottawa, Canada",294,23.78,286
52.3837057,4.6435597,"Haarlem, The Netherlands",38,23.777,287
40.3238525,-3.8649214,"Mostoles, Spain",49,23.731,288
43.5499749,-96.700327,"Sioux Falls, USA",41,23.515,289
49.489591,8.467236,"Mannheim, Germany",71,23.219,290
40.8359336,14.2487826,"Naples, Italy",220,22.929,291
34.0922335,-117.435048,"Fontana, USA",48,22.894,292
43.653963,-79.387207,"Toronto, Canada",1275,22.837,293
52.5170365,13.3888599,"Berlin, Germany",796,22.613,294
35.2072185,-101.8338246,"Amarillo, USA",45,22.547,295
51.2254018,6.7763137,"Düsseldorf, Germany",138,22.542,296
51.5139932,6.8493228,"Oberhausen, Germany",47,22.282,297
32.8295183,-96.9442177,"Irving, USA",53,22.242,298
53.577694,-2.4288874,"Bolton, UK",43,22.143,299
37.6688205,-122.0807964,"Hayward, USA",35,22.021,300
49.1922443,16.6113382,"Brno, Czech Republic",81,21.918,301
43.453168,-80.494423,"Kitchener, Canada",104,21.796,302
43.7698712,11.2555757,"Florence, Italy",76,21.758,303
51.264018,7.1780374,"Wuppertal, Germany",76,21.711,304
43.91768,-78.862953,"Oshawa, Canada",77,21.618,305
40.3492998,-3.8284295,"Alcorcon, Spain",36,21.433,306
41.4493539,2.248254,"Badalona, Spain",47,21.408,307
39.9622601,-83.0007065,"Columbus, USA",42,21.267,308
40.282476,-3.7923422,"Fuenlabrada, Spain",42,21.23,309
27.8002542,-97.3955744,"Corpus Christi, USA",69,21.183,310
43.6044622,1.4442469,"Toulouse, France",97,21.165,311
33.9533546,-117.3961623,"Riverside, USA",68,20.941,312
33.1958696,-117.3794834,"Oceanside, USA",36,20.517,313
51.434999,6.759562,"Duisburg, Germany",99,20.153,314
51.9501317,7.6133017,"Münster, Germany",62,19.997,315
31.7600372,-106.487287,"El Paso, USA",136,19.91,316
40.735657,-74.1723667,"Newark, USA",56,19.875,317
36.2008371,-115.1120958,"North Las Vegas, USA",47,19.69,318
44.230687,-76.481323,"Kingston, Canada",31,19.428,319
51.927798,4.4886233,"Rotterdam, The Netherlands",124,19.413,320
33.5778631,-101.8551665,"Lubbock, USA",49,19.405,321
36.7213028,-4.4216366,"Malaga, Spain",110,19.356,322
28.1287799,-15.4350514,"Las Palmas de Gran Canaria, Spain",73,19.118,323
53.550341,10.000654,"Hamburg, Germany",340,19.022,324
45.4384958,10.9924122,"Verona, Italy",41,18.713,325
51.5613683,-1.7856853,"Swindon, UK",34,18.636,326
25.9140256,-97.4890856,"Brownsville, USA",34,18.496,327
53.4018582,-2.5680224,"Warrington, UK",30,18.132,328
47.9960901,7.8494005,"Freiburg im Breisgau, Germany",41,18.11,329
43.6112422,3.8767337,"Montpellier, France",49,18.009,330
43.1257311,5.9304919,"Toulon, France",29,17.709,331
32.8406946,-83.6324022,"Macon, USA",27,17.699,332
50.735851,7.10066,"Bonn, Germany",56,17.565,333
52.4009309,13.0591397,"Potsdam, Germany",29,17.288,334
37.6267868,-1.0006184,"Cartagena, Spain",36,16.981,335
45.182151,5.7274722,"Grenoble, France",27,16.852,336
47.561701,-52.715149,"St. John's, Canada",33,16.754,337
43.2961743,5.3699525,"Marseille, France",143,16.717,338
32.6400541,-117.0841955,"Chula Vista, USA",44,16.469,339
41.5421013,2.1138977,"Sabadell, Spain",34,16.465,340
40.8156124,-90.9104547,"Henderson, USA",48,16.384,341
49.4938975,0.1079732,"Le Havre, France",28,16.272,342
50.776351,6.083862,"Aachen, Germany",40,16.268,343
43.255205,-79.868202,"Hamilton, Canada",117,16.226,344
49.9999952,8.2710237,"Mainz, Germany",34,16.208,345
51.457087,7.011429,"Essen, Germany",94,16.134,346
49.884017,-97.168579,"Winnipeg, Canada",117,16.027,347
53.0758196,8.8071646,"Bremen, Germany",89,15.965,348
40.6938609,-89.5891008,"Peoria, USA",26,15.837,349
53.7941567,-1.7494778,"Bradford, UK",55,15.734,350
45.4401467,4.3873058,"Saint-Étienne, France",27,15.696,351
51.3090209,9.4762981,"Kassel, Germany",31,15.658,352
51.5142273,7.4652789,"Dortmund, Germany",90,15.354,353
53.866444,10.684738,"Lübeck, Germany",33,15.26,354
51.5644477,4.7512297,"Breda, The Netherlands",28,15.238,355
48.584614,7.7507127,"Strasbourg, France",42,15.233,356
53.0162014,-2.1812607,"Stoke, UK",41,15.144,357
34.0553813,-117.7517496,"Pomona, USA",23,15.083,358
51.6616271,7.8216831,"Hamm, Germany",27,15.05,359
51.5111014,-0.5940682,"Slough, UK",23,14.81,360
51.891073,-0.4230304,"Luton, UK",31,14.676,361
52.0809517,5.1276803,"Utrecht, The Netherlands",51,14.675,362
42.988576,-81.246643,"London, Canada",69,14.533,363
45.4972159,-73.6103642,"Montréal, Canada",555,14.513,364
41.8933203,12.4829321,"Rome, Italy",332,14.317,365
52.4776875,-1.8948516,"Birmingham, UK",153,14.091,366
25.8575963,-80.2781057,"Hialeah, USA",33,13.96,367
34.142498,-118.248596,"Glendale, USA",34,13.827,368
54.3216753,10.1371858,"Kiel, Germany",34,13.804,369
60.3943532,5.325551,"Bergen, Norway",29,13.578,370
44.40726,8.9338624,"Genoa, Italy",76,13.098,371
48.3668041,10.8986971,"Augsburg, Germany",37,12.92,372
45.6500335,13.7706559,"Trieste, Italy",24,12.83,373
27.5060991,-99.5088979,"Laredo, USA",32,12.444,374
38.1029695,15.706286,"Reggio Calabria, Italy",21,12.416,375
52.628606,1.29227,"Norwich, UK",23,12.32,376
52.3744779,9.7385532,"Hannover, Germany",65,12.214,377
53.1389753,8.2146017,"Oldenburg, Germany",20,12.208,378
38.9822282,-94.6707917,"Overland Park, USA",23,12.172,379
51.0493286,13.7381437,"Dresden, Germany",66,12.136,380
47.2186371,-1.5541362,"Nantes, France",35,11.957,381
42.3486635,-83.0567375,"Detroit, USA",80,11.891,382
48.1113387,-1.6800198,"Rennes, France",25,11.827,383
33.3528259,-111.7890239,"Gilbert, USA",28,11.808,384
33.1976496,-96.6154471,"McKinney, USA",20,11.608,385
50.8465573,4.351697,"Brussels, Belgium",118,11.58,386
37.9923795,-1.1305431,"Murcia, Spain",50,11.445,387
51.3391827,12.3810549,"Leipzig, Germany",63,11.241,388
44.3893429,-79.6901711,"Barrie, Canada",21,11.229,389
41.0929642,16.8768083,"Bari, Italy",31,11.176,390
52.2385239,-0.902493,"Northampton, UK",24,11.154,391
36.27905,-6.0852927,"Jerez de la Frontera, Spain",23,11.083,392
38.1937571,15.5542082,"Messina, Italy",24,10.912,393
53.2217925,6.5582453,"Groningen, The Netherlands",22,10.843,394
46.8570996,-71.2578419,"Québec City, Canada",83,10.84,395
45.417635,11.8805442,"Padova, Italy",22,10.799,396
47.4739884,-0.5515588,"Angers, France",16,10.658,397
44.4936714,11.3430347,"Bologna, Italy",39,10.652,398
50.0833,8.25,"Wiesbaden, Germany",29,10.499,399
41.1494512,-8.6107884,"Porto, Portugal",26,10.415,400
43.880598,11.0969262,"Prato, Italy",18,9.9,401
51.4818111,7.2196635,"Bochum, Germany",36,9.87,402
52.1315889,11.6399609,"Magdeburg, Germany",23,9.757,403
52.131802,-106.660767,"Saskatoon, Canada",25,9.593,404
33.0136764,-96.6925096,"Plano, USA",27,9.439,405
46.3074538,-81.3561759,"Greater Sudbury / Grand Sudbury, Canada",15,9.33,406
34.065846,-117.6484304,"Ontario, USA",16,9.237,407
46.3507999,-72.5571257,"Trois-Rivières, Canada",14,9.224,408
50.6451381,5.5734203,"Liège , Belgium",18,9.096,409
54.0924445,12.1286127,"Rostock, Germany",18,8.737,410
50.9777974,11.0287364,"Erfurt, Germany",18,8.567,411
33.436188,-111.5860662,"Mesa, USA",39,8.048,412
52.010877,8.540868,"Bielefeld, Germany",25,7.505,413
51.4485569,5.4501225,"Eindhoven, The Netherlands",17,7.418,414
50.8322608,12.9252977,"Chemnitz, Germany",18,7.239,415
43.5426309,10.3160295,"Livorno, Italy",11,7.153,416
52.1637739,5.3965879,"Amersfoort, The Netherlands",11,7.087,417
45.5399392,10.2204897,"Brescia, Italy",13,7.034,418
45.0677551,7.6824892,"Turin, Italy",60,6.893,419
51.0324743,6.9881194,"Leverkusen, Germany",11,6.728,420
33.7494951,-117.8732213,"Santa Ana, California, USA",22,6.583,421
49.2577886,4.031926,"Reims, France",12,6.572,422
47.3215806,5.0414701,"Dijon, France",10,6.536,423
41.7571701,-88.3147539,"Aurora, USA",13,6.464,424
37.5022355,15.08738,"Catania, Italy",18,6.187,425
43.8374249,4.3600687,"Nîmes, France",9,5.978,426
40.4712427,17.2432278,"Taranto, Italy",10,5.522,427
45.403271,-71.889038,"Sherbrooke, Canada",11,5.449,428
60.2241869,24.6603626,"Espoo, Finland",13,5.063,429
44.6458885,10.9255707,"Modena, Italy",8,5.035,430
39.9622601,-83.0007065,"Columbus, USA",42,4.883,431
51.842602,5.8385196,"Nijmegen, The Netherlands",8,4.547,432
38.1112268,13.3524434,"Palermo, Italy",28,4.319,433
32.912624,-96.6388833,"Garland, USA",10,4.256,434
60.3091871,25.0364526,"Vantaa, Finland",8,4.209,435
36.7183708,-76.2466798,"Chesapeake, USA",10,4.203,436
40.9312099,-73.8987469,"Yonkers, USA",8,3.984,437
52.0056642,5.8762345,"Arnhem, The Netherlands",6,3.815,438
57.1482281,-2.0926781,"Aberdeen, UK",7,3.589,439
52.4417588,5.2093149,"Almere, The Netherlands",7,3.431,440
48.405959,-71.069183,"Saguenay, Canada",5,3.169,441
32.657368,-97.0284662,"Grand Prairie, USA",6,3.147,442
35.7882973,-78.7811925,"Cary, USA",5,3.08,443
52.4689235,4.7737835,"Zaanstad, The Netherlands",3,1.938,444
51.5110321,7.0960124,"Gelsenkirchen, Germany",2,0.768,445
33.8347516,-117.911732,"Anaheim, USA",1,0.285,446
